"","X.1","X","month","month.1","co2_flux","co2_mixing_ratio","co2_mole_fraction","air_pressure","U_insitu","u.","x_90.","co2_flux_sd","co2_mixing_ratio_sd","co2_mole_fraction_sd","air_pressure_sd","U_insitu_sd","radian_wd_sd","u._sd","x_90._sd","lat_site","lon_site","PP_air","chlor_a","SEA_SURFACE","p_CO2_zhu","delta_p_co2_zhu","p_CO2_zhui","delta_p_co2_zhui","p_CO2_lef","delta_p_p_lef"
"1",1,1,"2016-01-15","2016 01",-0.0495869964820359,397.631949020714,386.338186155952,101059.072544286,0.691736273211813,0.0499624984,436.80120058119,0.154294056312732,12.8719053056529,12.9077050563464,158.590933190368,0.651255554521317,0.436223379784747,0.0319595666288698,2104.21420585934,5.468333,100.2002778,385.324241612259,1.25615384615385,30.0805882352941,399.588397284679,14.2641556724196,527.55881527098,142.234573658721,565.88846217647,180.564220564211
"2",2,2,"2016-02-15","2016 02",-0.0972303600021142,396.46630308551,385.264577923435,100998.291651878,1.03543370016822,0.0594247679194991,1129.19320214669,0.138139566563599,11.9596214764981,11.5809425778447,183.691154321153,0.830934415249071,0.384331884225253,0.0200355538373522,2394.75058044347,5.468333,100.2002778,384.022345958538,1.28,30.14,401.920835999998,17.8984900414604,529.150812,145.128466041462,567.269553999999,183.247208041461
"3",3,3,"2016-03-15","2016 03",-0.0485186537880795,404.194506000276,392.546686374586,100948.39058232,0.718313163820531,0.044896978461326,491.639658782873,0.152771054454069,12.2587123079553,11.4612529140409,176.683129858811,0.596191032842232,0.43852228748951,0.0413556643639368,1003.26246305772,5.468333,100.2002778,391.087650806191,0.881666666666667,30.545,393.141933027776,2.05428222158486,562.134337166666,171.046686360475,576.684224500002,185.596573693811
"4",4,4,"2016-04-15","2016 04",-0.0379449480629371,410.658781688601,397.052075485492,100853.54828342,0.490978419085655,0.0370339464352332,105.637305699482,0.130593299138591,9.48314787406979,9.0878556952721,149.247132271215,0.534313585099627,0.437608693581972,0.0232591444934285,1516.51136901476,5.468333,100.2002778,395.204645112342,0.595,32.1141666666667,440.339633881943,45.134988769601,651.79975571528,256.595110602938,613.161229750003,217.956584637661
"5",5,5,"2016-05-15","2016 05",0.00726814834939759,411.4053207671,397.824928119481,100752.031108936,0.404512670750679,0.0383470172425532,-93.3750027046809,0.112485350650471,12.7516791858292,11.3125185881331,109.049625113013,0.472103251688549,0.429546694036761,0.0291731883631007,1872.37770105836,5.468333,100.2002778,395.575322317337,0.355,32.4366666666667,462.257540944444,66.6822186271074,678.32443652778,282.749114210443,620.658097000002,225.082774682665
"6",6,6,"2016-06-15","2016 06",-0.000699661759259259,409.895417589912,397.026592644298,100765.709713596,0.376445902046657,0.0344474820438596,-75.469298245614,0.130879234734043,15.460721486742,14.452958683566,148.219187208507,0.396334613967018,0.441488582438117,0.0224828153559487,2357.78384035089,5.468333,100.2002778,394.835098771021,0.44,32.378,455.885258039998,61.050159268977,672.080210039999,277.245111268978,619.294325800001,224.45922702898
"7",7,7,"2016-07-15","2016 07",-0.0191281080724638,405.124099498919,392.400610591892,100731.358472432,0.406898282787062,0.038333145227027,-403.949266507027,0.123242384942627,15.3239817805662,13.9718672008917,127.606181772307,0.459857220347211,0.420871049997131,0.0279697088270049,2680.92559895372,5.468333,100.2002778,390.101619248292,0.51,31.2657142857143,413.637773183672,23.5361539353799,609.78406422449,219.682444976198,593.438020857146,203.336401608854
"8",8,8,"2016-08-15","2016 08",-0.004544140875,403.700294168571,390.83597959619,100708.351207619,0.419537172522589,0.0353367935666667,-130.371428571429,0.13838821458298,14.0152834055079,12.4544911320043,131.521560330447,0.479088279211545,0.43697355407915,0.0248670798947961,1980.05599097839,5.468333,100.2002778,388.457410291113,0.48,30.56,397.503776,9.04636570888658,577.047632,188.590221708887,577.032916000001,188.575505708888
"9",9,9,"2016-09-15","2016 09",0.0266411971925926,401.753117887435,389.359434007853,100759.083917277,0.572633544724809,0.0360537506649215,-400.046727105236,0.110207946163281,19.2723024204728,18.0361501708873,152.410552891526,0.594019703901354,0.466805753987869,0.0358827197077317,2506.33661762869,5.468333,100.2002778,387.184800248517,0.74,30.99,402.279970999998,15.0951707514811,588.133934999999,200.949134751482,587.028739,199.843938751483
"10",10,10,"2016-10-15","2016 10",0.00492532810638298,404.108754474545,392.082054926667,100752.563294545,0.559646493624748,0.0338688511333333,-13.3212121212121,0.100654693337168,17.3302376857792,15.5584459503316,166.95560114532,0.573574102338931,0.411920207004414,0.024030618473957,1843.32397926548,5.468333,100.2002778,389.866983031379,0.78,30.008,383.562563839998,-6.3044191913811,542.40484784,152.537864808621,564.201068800001,174.334085768622
"11",11,11,"2016-11-15","2016 11",-0.00422270314285714,414.025620997938,401.481544791753,100746.56273686,0.439417030676409,0.0360335431740614,174.587030716724,0.112087675411089,29.2143061091892,30.3155223954958,157.631143542209,0.525025369276444,0.478512389796029,0.0216596121543249,1656.35368947147,5.468333,100.2002778,399.189594276376,0.634,29.99,384.338267399998,-14.8513268763783,546.85001224,147.660417963624,563.782639000001,164.593044723625
"12",12,12,"2016-12-15","2016 12",-0.0555206565354331,404.759631449168,392.283376919593,100711.484850462,0.70243722738534,0.0488905312550832,445.401109057301,0.149125979766603,18.0898667956813,18.3213187815348,140.395766279256,0.681532475715012,0.434470160584755,0.0184831597857096,1505.6935106697,5.468333,100.2002778,389.908130981749,0.625,29.4333333333333,379.414648611109,-10.4934823706396,524.95980486111,135.051673879361,550.84231,160.934179018251
"13",13,13,"2017-01-15","2017 01",-0.0481324707452471,405.663496077919,393.214841735279,100737.635506354,0.546656991612063,0.0494740486050633,352.984810126582,0.15197594840302,12.9731098096387,12.5369958241005,218.950065402645,0.580298130766147,0.439195695938464,0.0223982588729305,1801.53521805727,5.468333,100.2002778,390.935439451442,0.772,30.094,384.701144759998,-6.23429469144401,546.317018519999,155.381579068557,566.200233399999,175.264793948557
"14",14,14,"2017-02-15","2017 02",-0.0677247586507937,403.485844933333,391.48724247983,100895.305071762,0.813557527156437,0.0541277938280255,586,0.12816348860502,12.3184838910841,11.5638603878696,191.014392785368,0.807290207320949,0.398905749243396,0.021217281203185,3328.77480240199,5.468333,100.2002778,389.827039345723,1.77666666666667,29.623,443.18508510111,53.3580457553874,487.646072656667,97.8190333109438,555.251320300001,165.424280954278
"15",15,15,"2017-03-15","2017 03",-0.0325147809649123,410.579446231441,396.940914803057,100754.693059227,0.461067385017615,0.041770702167382,-145.733905579399,0.135031959003461,22.6085112993524,22.420095891905,174.584641514541,0.49040886339113,0.425807556424731,0.0224204532405717,2321.73292286074,5.468333,100.2002778,394.706736083207,NA,31.3390909090909,NA,NA,NA,NA,595.143741181818,200.437005098611
"16",16,16,"2017-04-15","2017 04",-0.0255469942349398,411.248034191701,397.299163325311,100799.147910359,0.505566551108484,0.0449923856135458,-86.5200055270916,0.140956511387344,28.6955096255838,28.7209718778954,125.13526285409,0.545852023890582,0.431282270060776,0.0335084973215011,2038.1710460025,5.468333,100.2002778,395.237277361853,NA,31.23625,NA,NA,NA,NA,592.753091125002,197.515813763149
"17",17,17,"2017-05-15","2017 05",-0.0211756509098361,413.673656302907,399.377322064535,100624.71643908,0.342097591651852,0.041568532816092,-216.327586206897,0.147421202899561,28.2400950455668,28.027907876911,199.915116717888,0.382524447519828,0.392555919203812,0.0289574034899768,2349.75423426177,5.468333,100.2002778,396.617120996231,NA,31.48,NA,NA,NA,NA,598.419328,201.802207003769
"18",18,18,"2017-06-15","2017 06",-0.0176048633576642,422.864221136967,408.87535503128,100670.615635377,0.349937154869091,0.0366239096981132,-89.8207547169811,0.129338767941993,114.916910183116,111.149922969562,110.949701318742,0.374430628650853,0.407673369215872,0.0244990592861127,1843.34049641631,5.468333,100.2002778,406.234726959116,NA,31.308,NA,NA,NA,NA,594.420998800001,188.186271840885
"19",19,19,"2017-07-15","2017 07",-0.0291212787647059,410.39545134023,396.840667926437,100699.178455747,0.319034767243011,0.0427778229367816,-267.329415427586,0.14696831564004,21.7409431981902,22.3849817104198,102.624688562035,0.338202494000087,0.41284621869286,0.0318741205416116,2463.52159495833,5.468333,100.2002778,394.389629785563,NA,31.125,NA,NA,NA,NA,590.166962500001,195.777332714438
"20",20,20,"2017-08-15","2017 08",-0.0169449679333333,410.502835189928,397.45154002446,100682.6169,0.364512081051055,0.0431027774370861,116.94701986755,0.155003068497245,32.7051774563334,32.4407306954472,142.19745105863,0.397841000917496,0.419603196640226,0.0265977190313236,1192.84314581077,5.468333,100.2002778,394.931765512931,NA,30.28,NA,NA,NA,NA,570.524008000002,175.592242487071
"21",21,21,"2017-09-15","2017 09",-0.00238272987096774,417.412115971223,404.22024637554,100731.649695918,0.398001311054393,0.0405646154829932,136.170068027211,0.137102225338992,41.4409875170144,41.5572886306877,127.161411454172,0.452809870292786,0.40977813012036,0.025022203963004,1219.19895874945,5.468333,100.2002778,401.85316810164,NA,31.335,NA,NA,NA,NA,595.048643500003,193.195475398363
"22",22,22,"2017-10-15","2017 10",-0.0490582137013889,409.898366838537,396.872013166341,100702.698183721,0.469742693961349,0.0369464774744186,-189.493023255814,0.159919236881502,22.8801772021612,22.9512322476047,177.969363312807,0.498232958887327,0.378258659817137,0.021297290538788,2183.33308573586,5.468333,100.2002778,394.4345675742,NA,31.056,NA,NA,NA,NA,588.562981600001,194.128414025801
"23",23,23,"2017-11-15","2017 11",-0.0358818675486381,429.70626577734,416.482013211823,100509.157419809,0.627285190816911,0.0433183239116945,189.439140811456,0.125201211746602,57.6200180660014,57.4783082985666,137.209182473014,0.671886135601903,0.432696931927089,0.0188791318792455,1620.64966830091,5.468333,100.2002778,413.128608225276,NA,30.5116666666667,NA,NA,NA,NA,575.909354500002,162.780746274726
"24",24,24,"2017-12-15","2017 12",-0.0953382983402256,407.676046737202,395.18606474213,100677.429777187,0.911689527881195,0.05621769884375,659.3859375,0.131469610047743,21.9604074629743,21.3771033344645,202.316326366806,0.88029743488352,0.470040879647419,0.0242922406622271,1511.79284568113,5.468333,100.2002778,392.660422225501,1.60333333333333,29.661,423.597155954443,30.9367337289422,496.40877951,103.748357284499,556.134672100002,163.474249874501
"25",25,25,"2018-01-15","2018 01",-0.0496965752617188,417.563277794766,404.878583483196,100596.767932546,0.543060436916723,0.0472786165538058,340.686958164829,0.13689963998546,27.9137322935999,27.2836111495764,201.605311090295,0.592064422015312,0.394783115545192,0.0226438168644584,1633.27673019491,5.468333,100.2002778,401.968683972533,1.4,29.2566666666667,402.599055444443,0.630371471910394,489.231988777779,87.263304805246,546.735499000001,144.766815027468
"26",26,26,"2018-02-15","2018 02",-0.131459163017123,403.158693373632,391.944964007711,100821.525298263,0.708487324601949,0.0516039636277916,392.007444168734,0.159334419501086,19.6106646365304,18.6759780030083,192.917005746589,0.650095535873813,0.437553047928783,0.0209673141846827,2280.17676770558,5.468333,100.2002778,389.997425158947,2.15285714285714,29.7173684210526,499.982992177112,109.985567018165,474.954973613092,84.9575484541448,557.445018052632,167.447592893685
"27",27,27,"2018-03-15","2018 03",-0.0568463850590717,417.408742015101,404.266543425839,100653.265841368,0.589205754996582,0.048081078723127,379.885993485342,0.148507321039345,18.7088912273092,18.2107197247037,160.723018550808,0.623280241565292,0.420380821288262,0.0210255630067693,2095.19375537943,5.468333,100.2002778,401.586458092395,1.07571428571429,30.9833333333333,408.149013526076,6.56255543368059,575.427746199544,173.841288107149,586.873764999999,185.287306907604
"28",28,28,"2018-04-15","2018 04",-0.0273074959941176,418.797736074892,405.143101200866,100573.41976875,0.454414912863766,0.045398725575,-31.64723104125,0.160215250300053,10.5079655730947,9.64604031347581,147.800848708019,0.480736740566753,0.437185256896953,0.0290330711219625,2299.89990049583,5.468333,100.2002778,402.137944075873,NA,30.444,NA,NA,NA,NA,574.3363684,172.198424324127
"29",29,29,"2018-05-15","2018 05",-0.0195505720992908,417.835692393722,403.860037408072,100601.515492241,0.382568944033562,0.0436353983448276,-17.7259825887931,0.140517360520193,22.296135783674,21.9589094348127,174.196785408559,0.428606747883187,0.427383132862113,0.0339690249989447,1788.39831849776,5.468333,100.2002778,400.976381051126,0.515,31.2425,412.819569937498,11.8431888863723,608.4492264375,207.472845386374,592.898379250001,191.921998198875
"30",30,30,"2018-06-15","2018 06",-0.00949673477966102,417.119713714881,403.547126182738,100610.009383626,0.346722765837685,0.0396036790467836,-300.970760233918,0.145605703587529,20.8417261623987,20.264188437704,114.299761710063,0.391037905144253,0.423338482357692,0.0269564794123983,2516.35555429089,5.468333,100.2002778,400.699532711379,0.563333333333333,31.5266666666667,420.071108222223,19.3715755108443,621.263511444446,220.563978733067,599.504146000004,198.804613288625
"31",31,31,"2018-07-15","2018 07",0.000910593607476635,415.5759374575,402.11912141875,100552.260605521,0.338986776114633,0.0456196161656442,-272.512784141104,0.135217525471012,26.0371194848893,26.1258995400573,134.876684336802,0.33389330508117,0.411191353527805,0.0406454399914865,2590.51901025512,5.468333,100.2002778,399.052422317903,0.58,30.345,390.655157749999,-8.39726456790441,563.970328749999,164.917906432096,572.0350045,172.982582182097
"32",32,32,"2018-08-15","2018 08",-0.0173968366067416,412.471005173913,399.25939017029,100589.088033333,0.348228444234057,0.0489479110851064,-191.390965506383,0.146481952872984,16.6552692776765,16.1145683908625,150.000757233992,0.377573324052895,0.413121868808088,0.0371023113165621,2087.96293651297,5.468333,100.2002778,396.359614566734,0.34,30.84,409.658575999999,13.2989614332649,594.76606,198.406445433266,583.541824000001,187.182209433267
"33",33,33,"2018-09-15","2018 09",0.00206220319491525,413.283425279096,400.232509078531,100655.193892778,0.379820016194986,0.0467388976388889,194.290048814444,0.139581967017317,26.4599407702649,26.7789182225668,171.639139597176,0.437476349569236,0.39702712844959,0.0299266625051664,1104.37520831843,5.468333,100.2002778,397.58678315808,0.39,30.902,408.669431239998,11.0826480819177,596.04498824,198.45820508192,584.983082200001,187.396299041921
"34",34,34,"2018-10-15","2018 10",-0.0409938662537313,421.579805586979,407.827294229687,100715.383739904,0.422313074991908,0.0475966242211538,43.9146778995192,0.149040094882485,40.6561308824999,39.9576979151808,188.027423665638,0.482564271789956,0.427713445493274,0.0302951306268503,1950.98291887334,5.468333,100.2002778,405.373623863308,0.62,30.6175,394.9793274375,-10.3942964258083,574.8324996875,169.458875824192,578.369566750001,172.995942886693
"35",35,35,"2018-11-15","2018 11",-0.0352509974452055,414.81656764386,401.307431507456,100614.576243568,0.383763483407821,0.0444137247842324,184.336099585062,0.14377567667352,13.594783844485,13.0885954287447,185.161982219631,0.434781244048764,0.430905613016699,0.0198674169271203,1716.53893510548,5.468333,100.2002778,398.493729726302,0.98,29.996,386.316060959999,-12.1776687663029,534.56116896,136.067439233698,563.9221156,165.428385873698
"36",36,36,"2018-12-15","2018 12",-0.028561903028169,414.068226066887,400.47417563245,100684.537066667,0.48980734119407,0.050345584447619,345.880398510159,0.134616549759889,17.5564574902275,17.1102920769229,170.272465573822,0.534355297051629,0.453106512155828,0.0290234543492158,1058.75226758384,5.468333,100.2002778,397.942827344764,1.206,30.4657142857143,402.9175601551,4.97473281033564,546.307662807347,148.364835462583,574.841140857143,176.898313512379
"37",37,37,"2019-01-15","2019 01",-0.143002587781513,402.046635103909,390.222742059465,100741.099359959,0.872384482558784,0.0581507157825203,898.075203252033,0.158949959604424,13.4893149643789,12.7943825523757,143.454320953105,0.746771983651241,0.446934371204994,0.0183283314608791,1210.27559284083,5.468333,100.2002778,387.974024478938,1.16875,29.62375,389.748343453124,1.77431897418609,512.30516728125,124.331142802312,555.268754875,167.294730396062
"38",38,38,"2019-02-15","2019 02",-0.121297892115242,408.557310407965,396.124829639233,100794.254755752,0.697840938871546,0.0513558435958702,554.330372625664,0.141487443998669,12.647148477835,12.3543457532432,181.968980981575,0.626068175925827,0.428049938348846,0.0243055290273375,788.937216366915,5.468333,100.2002778,394.049908647775,NA,30.1135,NA,NA,NA,NA,566.65353235,172.603623702225
"39",39,39,"2019-03-15","2019 03",-0.189811826132353,400.416485014356,387.968223712871,100673.283953171,0.66805385622602,0.0436022134487805,339.248780487805,0.184707395324611,14.0213480104547,13.4151146626207,195.268113996067,0.615142261481789,0.408713046904988,0.0173153754177525,1313.64053397829,5.468333,100.2002778,385.472836423915,1.92142857142857,30.857619047619,482.141494287979,96.6686578640642,535.002484594102,149.529648170187,583.951398142856,198.478561718941
