month,month.1,co2_flux,co2_mixing_ratio,co2_mole_fraction,air_pressure,U_insitu,u.,x_90.,co2_flux_sd,co2_mixing_ratio_sd,co2_mole_fraction_sd,air_pressure_sd,U_insitu_sd,radian_wd_sd,u._sd,x_90._sd,lat_site,lon_site,PP_air,SEA_SURFACE,chlor_a,p_CO2_zhu,delta_p_co2_zhu,p_CO2_zhui,delta_p_co2_zhui,p_CO2_lef,delta_p_p_lef,k_theory,k_N2000,k_W2014,k_MG2001,k_WMG1999,k_MG2001_co2_zhu,k_MG2001_co2_zhui,k_MG2001_co2_lef,k_theory_co2_zhu,k_theory_co2_zhui,k_theory_co2_lef,k_WMG1999_co2_zhu,k_WMG1999_co2_zhui,k_WMG1999_co2_lef,k_N2000_co2_zhu,k_N2000_co2_zhui,k_N2000_co2_lef,k_W2014_co2_zhu,k_W2014_co2_zhui,k_W2014_co2_lef
15/1/2016,2016 01,-0.049586996,397.631949,386.3381862,101059.0725,0.691736273,0.049962498,436.8012006,0.154294056,12.87190531,12.90770506,158.5909332,0.651255555,0.43622338,0.031959567,2104.214206,5.468333,100.2002778,385.3242416,30.08058824,1.256153846,399.5883973,14.26415567,527.5588153,142.2345737,565.8884622,180.5642206,29.08005822,0.408222889,0.152541308,4.202209327,0.01189709,0.01767426,0.176238325,0.223731368,0.122309119,1.219601486,1.548262044,5.00E-05,0.000498957,0.000633417,0.001716963,0.017120641,0.021734345,0.00064158,0.006397498,0.008121508
15/2/2016,2016 02,-0.09723036,396.4663031,385.2645779,100998.2917,1.0354337,0.059424768,1129.193202,0.138139567,11.95962148,11.58094258,183.6911543,0.830934415,0.384331884,0.020035554,2394.75058,5.468333,100.2002778,384.022346,30.14,1.28,401.920836,17.89849004,529.150812,145.128466,567.269554,183.247208,34.65375347,0.707886622,0.342272182,4.23398389,0.039958264,0.022345141,0.181183775,0.22877263,0.182887563,1.482929088,1.872428081,0.000210882,0.001709924,0.002159044,0.00373592,0.030292409,0.038248866,0.001806365,0.014646765,0.018493813
15/3/2016,2016 03,-0.048518654,404.194506,392.5466864,100948.3906,0.718313164,0.044896978,491.6396588,0.152771054,12.25871231,11.46125291,176.6831299,0.596191033,0.438522287,0.041355664,1003.262463,5.468333,100.2002778,391.0876508,30.545,0.881666667,393.141933,2.054282222,562.1343372,171.0466864,576.6842245,185.5965737,26.52553504,0.433863271,0.166334262,4.250701687,0.013471261,0.002574769,0.214384208,0.232620551,0.016067258,1.337815784,1.451615527,8.16E-06,0.000679423,0.000737218,0.000262803,0.021881901,0.023743259,0.000100753,0.008389071,0.009102678
15/4/2016,2016 04,-0.037944948,410.6587817,397.0520755,100853.5483,0.490978419,0.037033946,105.6373057,0.130593299,9.483147874,9.087855695,149.2471323,0.534313585,0.437608694,0.023259144,1516.511369,5.468333,100.2002778,395.2046451,32.11416667,0.595,440.3396339,45.13498877,651.7997557,256.5951106,613.1612297,217.9565846,23.00712951,0.276328266,0.080678725,4.40432364,0.004466159,0.058615174,0.333230772,0.283052318,0.306191601,1.740717565,1.478597368,5.94E-05,0.000337909,0.000287026,0.003677529,0.020906974,0.017758767,0.001073717,0.006104146,0.005184973
15/5/2016,2016 05,0.007268148,411.4053208,397.8249281,100752.0311,0.404512671,0.038347017,-93.3750027,0.112485351,12.75167919,11.31251859,109.0496251,0.472103252,0.429546694,0.029173188,1872.377701,5.468333,100.2002778,395.5753223,32.43666667,0.355,462.2575409,66.68221863,678.3244365,282.7491142,620.658097,225.0827747,24.06791615,0.219446729,0.055184262,4.436266438,0.002516866,0.08722584,0.369859154,0.294426828,0.473223201,2.006583518,1.597343238,4.95E-05,0.000209835,0.00016704,0.00431476,0.018295651,0.014564275,0.001085033,0.004600807,0.003662478
15/6/2016,2016 06,-0.000699662,409.8954176,397.0265926,100765.7097,0.376445902,0.034447482,-75.46929825,0.130879235,15.46072149,14.45295868,148.2191872,0.396334614,0.441488582,0.022482815,2357.78384,5.468333,100.2002778,394.8350988,32.378,0.44,455.885258,61.05015927,672.08021,277.2451113,619.2943258,224.459227,21.58028645,0.20093212,0.047725859,4.429669477,0.002025672,0.079739888,0.362120171,0.293174561,0.388473595,1.764162555,1.42827609,3.65E-05,0.000165596,0.000134068,0.003617043,0.01642596,0.013298551,0.000859128,0.003901532,0.003158702
15/7/2016,2016 07,-0.019128108,405.1240995,392.4006106,100731.3585,0.406898283,0.038333145,-403.9492665,0.123242385,15.32398178,13.9718672,127.6061818,0.45985722,0.42087105,0.027969709,2680.925599,5.468333,100.2002778,390.1016192,31.26571429,0.51,413.6377732,23.53615394,609.7840642,219.682445,593.4380209,203.3364016,23.17783653,0.214946627,0.054303375,4.314453419,0.002491296,0.02994186,0.279472214,0.258677358,0.160851787,1.501363131,1.389650304,1.73E-05,0.000161376,0.000149368,0.001491707,0.013923342,0.012887339,0.00037686,0.003517545,0.003255813
15/8/2016,2016 08,-0.004544141,403.7002942,390.8359796,100708.3512,0.419537173,0.035336794,-130.3714286,0.138388215,14.01528341,12.45449113,131.5215603,0.479088279,0.436973554,0.02486708,1980.055991,5.468333,100.2002778,388.4574103,30.56,0.48,397.503776,9.046365709,577.047632,188.5902217,577.032916,188.5755057,20.8873708,0.219350988,0.056761175,4.242318758,0.00268494,0.011316052,0.235906532,0.235888124,0.055715421,1.161503293,1.161412659,7.16E-06,0.000149304,0.000149292,0.000585102,0.012197653,0.012196701,0.000151406,0.003156371,0.003156125
15/9/2016,2016 09,0.026641197,401.7531179,389.359434,100759.0839,0.572633545,0.036053751,-400.0467271,0.110207946,19.27230242,18.03615017,152.4105529,0.594019704,0.466805754,0.03588272,2506.336618,5.468333,100.2002778,387.1848002,30.99,0.74,402.279971,15.09517075,588.133935,200.9491348,587.028739,199.8439388,21.6077096,0.326626013,0.106842217,4.29014101,0.006898146,0.019095327,0.2541998,0.252801732,0.096175458,1.280301849,1.273260343,3.07E-05,0.00040873,0.000406482,0.001453805,0.019353272,0.019246832,0.000475552,0.006330624,0.006295806
15/10/2016,2016 10,0.004925328,404.1087545,392.0820549,100752.5633,0.559646494,0.033868851,-13.32121212,0.100654693,17.33023769,15.55844595,166.9556011,0.573574102,0.411920207,0.024030618,1843.323979,5.468333,100.2002778,389.866983,30.008,0.78,383.5625638,-6.304419191,542.4048478,152.5378648,564.2010688,174.3340858,19.6668702,0.309825044,0.09967253,4.189743938,0.006289295,-0.007788433,0.188444142,0.215371031,-0.036559297,0.884566346,1.010962526,-1.17E-05,0.000282877,0.000323297,-0.000575942,0.013935151,0.015926353,-0.000185284,0.00448302,0.005123601
15/11/2016,2016 11,-0.004222703,414.025621,401.4815448,100746.5627,0.439417031,0.036033543,174.5870307,0.112087675,29.21430611,30.3155224,157.6311435,0.525025369,0.47851239,0.021659612,1656.353689,5.468333,100.2002778,399.1895943,29.99,0.634,384.3382674,-14.85132688,546.8500122,147.660418,563.782639,164.5930447,20.91171694,0.22896549,0.061420531,4.184949669,0.003043009,-0.018326224,0.182209842,0.203104346,-0.091574055,0.910481829,1.014889288,-1.33E-05,0.000132491,0.000147684,-0.001002658,0.009969001,0.011112173,-0.000268965,0.002674208,0.002980867
15/12/2016,2016 12,-0.055520657,404.7596314,392.2833769,100711.4849,0.702437227,0.048890531,445.4011091,0.14912598,18.0898668,18.32131878,140.3957663,0.681532476,0.434470161,0.01848316,1505.693511,5.468333,100.2002778,389.908131,29.43333333,0.625,379.4146486,-10.49348237,524.9598049,135.0516739,550.84231,160.934179,27.86800705,0.410119985,0.154864821,4.137731309,0.012265154,-0.012802637,0.164770612,0.196348719,-0.086226954,1.10974547,1.322426972,-3.79E-05,0.000488417,0.000582021,-0.00126896,0.016331587,0.019461518,-0.00047917,0.006166947,0.007348836
15/1/2017,2017 01,-0.048132471,405.6634961,393.2148417,100737.6355,0.546656992,0.049474049,352.9848101,0.151975948,12.97310981,12.53699582,218.9500654,0.580298131,0.439195696,0.022398259,1801.535218,5.468333,100.2002778,390.9354395,30.094,0.772,384.7011448,-6.234294691,546.3170185,155.3815791,566.2002334,175.2647939,28.80821386,0.301348195,0.095296357,4.198027829,0.005873594,-0.007717029,0.19233678,0.216948923,-0.05295673,1.319876695,1.488773112,-1.08E-05,0.000269104,0.00030354,-0.000553954,0.013806564,0.015573305,-0.000175179,0.004366096,0.004924799
15/2/2017,2017 02,-0.067724759,403.4858449,391.4872425,100895.3051,0.813557527,0.054127794,586,0.128163489,12.31848389,11.56386039,191.0143928,0.807290207,0.398905749,0.021217281,3328.774802,5.468333,100.2002778,389.8270393,29.623,1.776666667,443.1850851,53.35804576,487.6460727,97.81903331,555.2513203,165.424281,31.04279839,0.501248467,0.208688676,4.162949793,0.019142553,0.065496574,0.120072081,0.203056982,0.488402949,0.89536833,1.514180391,0.000301174,0.000552129,0.00093372,0.007886249,0.014457524,0.02444949,0.003283343,0.006019213,0.010179247
15/3/2017,2017 03,-0.032514781,410.5794462,396.9409148,100754.6931,0.461067385,0.041770702,-145.7339056,0.135031959,22.6085113,22.42009589,174.5846415,0.490408863,0.425807556,0.022420453,2321.732923,5.468333,100.2002778,394.7067361,31.33909091,NA,NA,NA,NA,NA,595.1437412,200.4370051,25.31576032,0.250920376,0.069846665,4.323070719,0.003630971,NA,NA,0.25549814,NA,NA,1.496188726,NA,NA,0.000214594,NA,NA,0.014829665,NA,NA,0.004128013
15/4/2017,2017 04,-0.025546994,411.2480342,397.2991633,100799.1479,0.505566551,0.044992386,-86.52000553,0.140956511,28.69550963,28.72097188,125.1352629,0.545852024,0.43128227,0.033508497,2038.171046,5.468333,100.2002778,395.2372774,31.23625,NA,NA,NA,NA,NA,592.7530911,197.5158138,27.17862148,0.280689821,0.08377333,4.313514539,0.004775258,NA,NA,0.251217932,NA,NA,1.58287564,NA,NA,0.00027811,NA,NA,0.0163473,NA,NA,0.004878936
15/5/2017,2017 05,-0.021175651,413.6736563,399.3773221,100624.7164,0.342097592,0.041568533,-216.3275862,0.147421203,28.24009505,28.02790788,199.9151167,0.382524448,0.392555919,0.028957403,2349.754234,5.468333,100.2002778,396.617121,31.48,NA,NA,NA,NA,NA,598.419328,201.802207,25.30710815,0.175470181,0.038581452,4.335665017,0.001488131,NA,NA,0.257987777,NA,NA,1.505864622,NA,NA,8.85E-05,NA,NA,0.010441111,NA,NA,0.002295736
15/6/2017,2017 06,-0.017604863,422.8642211,408.875355,100670.6156,0.349937155,0.03662391,-89.82075472,0.129338768,114.9169102,111.149923,110.9497013,0.374430629,0.407673369,0.024499059,1843.340496,5.468333,100.2002778,406.234727,31.308,NA,NA,NA,NA,NA,594.4209988,188.1862718,22.17437862,0.179516066,0.040204463,4.31798343,0.00158627,NA,NA,0.239599776,NA,NA,1.230429953,NA,NA,8.80E-05,NA,NA,0.009961133,NA,NA,0.002230898
15/7/2017,2017 07,-0.029121279,410.3954513,396.8406679,100699.1785,0.319034767,0.042777823,-267.3294154,0.146968316,21.7409432,22.38498171,102.6246886,0.338202494,0.412846219,0.031874121,2463.521595,5.468333,100.2002778,394.3896298,31.125,NA,NA,NA,NA,NA,590.1669625,195.7773327,25.74886702,0.160226493,0.033271256,4.298772776,0.001196795,NA,NA,0.24815578,NA,NA,1.486407984,NA,NA,6.91E-05,NA,NA,0.009249414,NA,NA,0.001920654
15/8/2017,2017 08,-0.016944968,410.5028352,397.45154,100682.6169,0.364512081,0.043102777,116.9470199,0.155003068,32.70517746,32.4407307,142.1974511,0.397841001,0.419603197,0.026597719,1192.843146,5.468333,100.2002778,394.9317655,30.28,NA,NA,NA,NA,NA,570.524008,175.5922425,25.2491695,0.18387736,0.0425611,4.213033388,0.001749192,NA,NA,0.218131168,NA,NA,1.307283924,NA,NA,9.06E-05,NA,NA,0.00952031,NA,NA,0.002203615
15/9/2017,2017 09,-0.00238273,417.412116,404.2202464,100731.6497,0.398001311,0.040564615,136.170068,0.137102225,41.44098752,41.55728863,127.1614115,0.45280987,0.40977813,0.025022204,1219.198959,5.468333,100.2002778,401.8531681,31.335,NA,NA,NA,NA,NA,595.0486435,193.1954754,24.58157287,0.209612686,0.052040735,4.32145804,0.002335289,NA,NA,0.246175455,NA,NA,1.400309764,NA,NA,0.000133032,NA,NA,0.011940761,NA,NA,0.002964544
15/10/2017,2017 10,-0.049058214,409.8983668,396.8720132,100702.6982,0.469742694,0.036946477,-189.4930233,0.159919237,22.8801772,22.95123225,177.9693633,0.498232959,0.37825866,0.021297291,2183.333086,5.468333,100.2002778,394.4345676,31.056,NA,NA,NA,NA,NA,588.5629816,194.128414,22.18968839,0.255039514,0.072010507,4.29408408,0.003813894,NA,NA,0.245797323,NA,NA,1.270158175,NA,NA,0.000218311,NA,NA,0.014598696,NA,NA,0.004121948
15/11/2017,2017 11,-0.035881868,429.7062658,416.4820132,100509.1574,0.627285191,0.043318324,189.4391408,0.125201212,57.62001807,57.4783083,137.2091825,0.671886136,0.432696932,0.018879132,1620.649668,5.468333,100.2002778,413.1286082,30.51166667,NA,NA,NA,NA,NA,575.9093545,162.7807463,25.56541551,0.36304405,0.126746654,4.243169753,0.008964256,NA,NA,0.203662439,NA,NA,1.227081443,NA,NA,0.000430264,NA,NA,0.017425284,NA,NA,0.006083549
15/12/2017,2017 12,-0.095338298,407.6760467,395.1860647,100677.4298,0.911689528,0.056217699,659.3859375,0.13146961,21.96040746,21.37710333,202.3163264,0.880297435,0.47004088,0.024292241,1511.792846,5.468333,100.2002778,392.6604222,29.661,1.603333333,423.597156,30.93673373,496.4087795,103.7483573,556.1346721,163.4742499,32.2809474,0.58607118,0.262309364,4.173930989,0.026963327,0.038074764,0.127686208,0.201192652,0.294468083,0.987517951,1.556012649,0.000245961,0.000824845,0.001299692,0.005346165,0.017928712,0.02824992,0.002392796,0.008024399,0.012643888
15/1/2018,2018 01,-0.049696575,417.5632778,404.8785835,100596.7679,0.543060437,0.047278617,340.6869582,0.13689964,27.91373229,27.28361115,201.6053111,0.592064422,0.394783116,0.022643817,1633.27673,5.468333,100.2002778,401.968684,29.25666667,1.4,402.5990554,0.630371472,489.2319888,87.26330481,546.735499,144.766815,26.79586939,0.292873415,0.092168976,4.114113944,0.005643462,0.000764699,0.105858435,0.175615495,0.004980603,0.689472592,1.143811266,1.05E-06,0.000145209,0.000240897,5.44E-05,0.007535796,0.012501625,1.71E-05,0.002371559,0.003934334
15/2/2018,2018 02,-0.131459163,403.1586934,391.944964,100821.5253,0.708487325,0.051603964,392.0074442,0.15933442,19.61066464,18.675978,192.9170057,0.650095536,0.437553048,0.020967314,2280.176768,5.468333,100.2002778,389.9974252,29.71736842,2.152857143,499.9829922,109.985567,474.9549736,84.95754845,557.4450181,167.4475929,29.68563376,0.417636639,0.158625727,4.166437124,0.01267122,0.1351195,0.104372071,0.205712764,0.962718951,0.743645227,1.465692048,0.000410934,0.000317423,0.000625626,0.013544151,0.010462081,0.020620301,0.005144306,0.003973682,0.007831952
15/3/2018,2018 03,-0.056846385,417.408742,404.2665434,100653.2658,0.589205755,0.048081079,379.8859935,0.148507321,18.70889123,18.21071972,160.7230186,0.623280242,0.420380821,0.021025563,2095.193755,5.468333,100.2002778,401.5864581,30.98333333,1.075714286,408.1490135,6.562555434,575.4277462,173.8412881,586.873765,185.2873069,28.80975386,0.338711778,0.11309774,4.290022145,0.00751335,0.008301375,0.219902397,0.234381161,0.055748095,1.476760192,1.573992703,1.45E-05,0.000385127,0.000410485,0.000655422,0.017362039,0.018505186,0.000218849,0.005797281,0.006178984
15/4/2018,2018 04,-0.027307496,418.7977361,405.1431012,100573.4198,0.454414913,0.045398726,-31.64723104,0.16021525,10.50796557,9.646040313,147.8008487,0.480736741,0.437185257,0.029033071,2299.8999,5.468333,100.2002778,402.1379441,30.444,NA,NA,NA,NA,NA,574.3363684,172.1984243,26.73492855,0.241230413,0.066405757,4.231182413,0.003402288,NA,NA,0.214836674,NA,NA,1.357455804,NA,NA,0.00017275,NA,NA,0.012248382,NA,NA,0.003371727
15/5/2018,2018 05,-0.019550572,417.8356924,403.8600374,100601.5155,0.382568944,0.043635398,-17.72598259,0.140517361,22.29613578,21.95890943,174.1967854,0.428606748,0.427383133,0.033969025,1788.398318,5.468333,100.2002778,400.9763811,31.2425,0.515,412.8195699,11.84318889,608.4492264,207.4728454,592.8983793,191.9219982,26.36418398,0.199405333,0.04797704,4.311672775,0.002069454,0.015056775,0.263769487,0.243999001,0.092066257,1.612846717,1.491957968,7.23E-06,0.0001266,0.000117111,0.000696343,0.012198756,0.011284414,0.00016754,0.002935028,0.002715037
15/6/2018,2018 06,-0.009496735,417.1197137,403.5471262,100610.0094,0.346722766,0.039603679,-300.9707602,0.145605704,20.84172616,20.26418844,114.2997617,0.391037905,0.423338482,0.026956479,2516.355554,5.468333,100.2002778,400.6995327,31.52666667,0.563333333,420.0711082,19.37157551,621.2635114,220.5639787,599.504146,198.8046133,24.14690848,0.178487764,0.039675916,4.340553025,0.001551037,0.02479291,0.282291077,0.25444213,0.137925313,1.570412058,1.415485718,8.86E-06,0.000100873,9.09E-05,0.001019509,0.011608084,0.010462908,0.000226626,0.002580353,0.002325792
15/7/2018,2018 07,0.000910594,415.5759375,402.1191214,100552.2606,0.338986776,0.045619616,-272.5127841,0.135217525,26.03711948,26.12589954,134.8766843,0.333893305,0.411191354,0.04064544,2590.51901,5.468333,100.2002778,399.0524223,30.345,0.58,390.6551577,-8.397264568,563.9703287,164.9179064,572.0350045,172.9825822,26.77951284,0.168923863,0.036866594,4.219305666,0.001409057,-0.010447114,0.205175877,0.215209214,-0.06630679,1.30223086,1.365911451,-3.49E-06,6.85E-05,7.19E-05,-0.00041826,0.008214409,0.008616103,-9.13E-05,0.001792744,0.001880411
15/8/2018,2018 08,-0.017396837,412.4710052,399.2593902,100589.088,0.348228444,0.048947911,-191.3909655,0.146481953,16.65526928,16.11456839,150.0007572,0.377573324,0.413121869,0.037102311,2087.962937,5.468333,100.2002778,396.3596146,30.84,0.34,409.658576,13.29896143,594.76606,198.4064454,583.541824,187.1822094,29.19445995,0.176485959,0.039369202,4.269851901,0.00154573,0.016743569,0.249796349,0.235664887,0.114481595,1.707944367,1.611322654,6.06E-06,9.04E-05,8.53E-05,0.000692063,0.010324842,0.009740746,0.00015438,0.002303191,0.002172895
15/9/2018,2018 09,0.002062203,413.2834253,400.2325091,100655.1939,0.379820016,0.046738898,194.2900488,0.139581967,26.45994077,26.77891822,171.6391396,0.43747635,0.397027128,0.029926663,1104.375208,5.468333,100.2002778,397.5867832,30.902,0.39,408.6694312,11.08264808,596.0449882,198.4582051,584.9830822,187.396299,27.93249078,0.196078441,0.046906095,4.276625831,0.002008722,0.013975337,0.250257909,0.236308728,0.091278964,1.634542514,1.543434385,6.56E-06,0.000117546,0.000110994,0.000640753,0.011474041,0.010834487,0.000153282,0.002744832,0.002591838
15/10/2018,2018 10,-0.040993866,421.5798056,407.8272942,100715.3837,0.422313075,0.047596624,43.9146779,0.149040095,40.65613088,39.95769792,188.0274237,0.482564272,0.427713445,0.030295131,1950.982919,5.468333,100.2002778,405.3736239,30.6175,0.62,394.9793274,-10.39429643,574.8324997,169.4588758,578.3695668,172.9959429,28.18617299,0.221427096,0.057594237,4.248228212,0.002742371,-0.013020283,0.212270507,0.216701169,-0.086387063,1.408373782,1.437770369,-8.41E-06,0.000137028,0.000139888,-0.000678646,0.011064011,0.011294947,-0.000176519,0.002877802,0.002937869
15/11/2018,2018 11,-0.035250997,414.8165676,401.3074315,100614.5762,0.383763483,0.044413725,184.3360996,0.143775677,13.59478384,13.08859543,185.1619822,0.434781244,0.430905613,0.019867417,1716.538935,5.468333,100.2002778,398.4937297,29.996,0.98,386.316061,-12.17766877,534.561169,136.0674392,563.9221156,165.4283859,25.78006114,0.194256099,0.046854337,4.184620407,0.002027338,-0.015025804,0.16789114,0.204119078,-0.092569005,1.034321738,1.257510074,-7.28E-06,8.13E-05,9.89E-05,-0.000697519,0.007793748,0.009475501,-0.000168241,0.001879843,0.002285479
15/12/2018,2018 12,-0.028561903,414.0682261,400.4741756,100684.5371,0.489807341,0.050345584,345.8803985,0.13461655,17.55645749,17.11029208,170.2724656,0.534355297,0.453106512,0.029023454,1058.752268,5.468333,100.2002778,397.9428273,30.46571429,1.206,402.9175602,4.97473281,546.3076628,148.3648355,574.8411409,176.8983135,29.66882223,0.264865607,0.077192959,4.234179148,0.004263004,0.006210928,0.185232721,0.220856619,0.043519867,1.297922566,1.547538622,6.25E-06,0.000186494,0.00022236,0.00038852,0.011587081,0.013815505,0.000113231,0.003376962,0.004026418
15/1/2019,2019 01,-0.143002588,402.0466351,390.2227421,100741.0994,0.872384483,0.058150716,898.0752033,0.15894996,13.48931496,12.79438255,143.454321,0.746771984,0.446934371,0.018328331,1210.275593,5.468333,100.2002778,387.9740245,29.62375,1.16875,389.7483435,1.774318974,512.3051673,124.3311428,555.2687549,167.2947304,33.3507893,0.551169707,0.239963981,4.167122597,0.023602973,0.002180145,0.15276846,0.205558782,0.017448388,1.222653907,1.645151417,1.23E-05,0.000865295,0.001164304,0.00028836,0.020206112,0.027188491,0.000125544,0.00879718,0.011837114
15/2/2019,2019 02,-0.121297892,408.5573104,396.1248296,100794.2548,0.697840939,0.051355844,554.3303726,0.141487444,12.64714848,12.35434575,181.968981,0.626068176,0.428049938,0.024305529,788.9372164,5.468333,100.2002778,394.0499086,30.1135,NA,NA,NA,NA,NA,566.6535324,172.6036237,29.92276497,0.41329965,0.155368539,4.205829679,0.012224532,NA,NA,0.214051901,NA,NA,1.522892081,NA,NA,0.000622157,NA,NA,0.021034512,NA,NA,0.007907341
15/3/2019,2019 03,-0.189811826,400.416485,387.9682237,100673.284,0.668053856,0.043602213,339.2487805,0.184707395,14.02134801,13.41511466,195.268114,0.615142261,0.408713047,0.017315375,1313.640534,5.468333,100.2002778,385.4728364,30.85761905,1.921428571,482.1414943,96.66865786,535.0024846,149.5296482,583.9513981,198.4785617,26.02079979,0.397333568,0.144955443,4.28026622,0.010918393,0.122003972,0.188718984,0.250496628,0.741692398,1.147269506,1.522831119,0.000311216,0.000481397,0.000638984,0.011325528,0.017518627,0.023253394,0.004131785,0.006391155,0.008483316
